Symbol,Date,CMP,Signal,BreakoutStrength%,Target,StopLoss(Midpoint),CircuitSignal
ADANIENT,2026-09-10,3075.3,BUY,3.54,3325.82,2950.04,NEUTRAL
ADANIPORTS,2026-09-10,1768.6,BUY,3.43,1905.62,1700.09,NEUTRAL
CUMMINSIND,2026-09-10,5232.5,BUY,3.05,5588.1,5054.7,NEUTRAL
COALINDIA,2026-09-10,435.3,BUY,2.98,465.06,420.42,NEUTRAL
POWERGRID,2026-09-10,271.35,BUY,1.78,282.83,265.61,NEUTRAL
HAL,2026-09-10,4945.1,BUY,0.63,5057.8,4888.75,NEUTRAL
DIVISLAB,2026-09-10,9408.5,BUY,0.5,9598.4,9313.55,NEUTRAL
NTPC,2026-09-10,334.4,BUY,0.4,339.2,332.0,NEUTRAL
GRASIM,2026-09-10,3319.3,BUY,0.33,3367.08,3295.41,NEUTRAL
ONGC,2026-09-10,236.83,BUY,0.22,239.67,235.41,NEUTRAL
