Date,TotalEntryValue,TotalCurrentValue,OverallPnL%,StocksHolding,StocksTargetHitToday,StocksSLHitToday
2026-08-15 02:18,16114.8,16165.8,0.32,5,0,0
2026-08-17 06:07,16114.8,16208.1,0.58,5,0,0
2026-08-18 06:01,16114.8,16200.65,0.53,5,0,0
2026-08-19 06:03,16114.8,16084.2,-0.19,5,0,0
2026-08-20 06:04,16114.8,16055.6,-0.37,5,0,0
2026-08-21 06:05,16114.8,16097.6,-0.11,5,0,0
2026-08-24 08:05,15197.18,15057.48,-0.92,5,0,1
2026-08-25 06:05,15197.18,14942.79,-1.67,5,0,0
2026-08-26 07:36,15197.18,15060.49,-0.9,5,0,0
2026-08-28 21:22,15210.6,14981.5,-1.51,5,1,0
2026-08-31 05:08,15210.6,14821.75,-2.56,5,0,0
2026-09-01 05:14,15210.6,14959.88,-1.65,5,0,0
2026-09-02 05:14,9904.35,9612.19,-2.95,5,0,1
2026-09-03 05:42,9904.35,9701.6,-2.05,5,0,0
2026-09-04 05:14,9904.35,9837.98,-0.67,5,0,0
