Symbol,EntryDate,EntryPrice,Quantity,AllocatedAmount
CUPID,2026-08-12,286.89,23,6598.47
STLTECH,2026-08-12,628.9,10,6289.0
LAURUSLABS,2026-08-12,1852.8,3,5558.4
CPPLUS,2026-08-12,3832.2,1,3832.2
SHILPAMED,2026-08-12,809.95,8,6479.6
HFCL,2026-08-12,215.87,30,6476.1
SKYGOLD,2026-08-12,809.6,8,6476.8
DIACABS,2026-08-12,367.0,18,6606.0
WELCORP,2026-08-12,1860.2,3,5580.6
SANSERA,2026-08-12,3729.9,1,3729.9
AETHER,2026-08-12,1637.9,4,6551.6
ATHERENERG,2026-08-12,1538.0,4,6152.0
RUBICON,2026-08-12,1647.4,4,6589.6
RRKABEL,2026-08-12,2813.0,2,5626.0
