Date,TotalInvested,CurrentValue,OverallPnL%
2026-08-12 04:31,82546.27,82512.90000000002,-0.04
2026-08-12 23:06,82546.27,83404.31000000001,1.04
2026-08-13 08:08,82546.27,82854.49999999999,0.37
2026-08-14 05:05,82546.27,82951.72,0.49
2026-08-15 05:56,82546.27,82345.64,-0.24
2026-08-17 06:05,82546.27,82520.41,-0.03
2026-08-19 06:01,82546.27,82400.81,-0.18
2026-08-21 05:13,82546.27,83150.59,0.73
2026-08-21 06:08,82546.27,83453.61,1.1
2026-08-23 05:59,82546.27,83800.44000000002,1.52
2026-08-25 06:03,82546.27,84714.45999999999,2.63
2026-08-28 21:21,82546.27,87938.89,6.53
