Symbol,CMP,Return3M%,Return6M%,Return9M%,Volatility3M,MomentumScore,Rank
CUPID,285.08,128.63,237.01,330.41,3.12,74.369,1
STLTECH,613.0,32.34,286.7,444.45,3.59,70.847,2
WELCORP,2328.7,79.46,189.24,159.68,3.12,45.719,3
HFCL,225.56,38.52,205.68,205.68,3.57,42.008,4
SANSERA,3907.5,34.5,73.54,147.36,2.28,37.388,5
SHILPAMED,815.7,59.27,148.08,124.99,3.05,36.359,6
LAURUSLABS,1802.4,31.19,76.5,82.6,1.79,35.525,7
RRKABEL,2900.0,45.79,104.38,113.11,2.48,35.339,8
DIACABS,357.0,72.76,165.43,140.61,3.64,34.684,9
KTKBANK,334.4,24.99,63.5,90.93,1.88,31.877,10
ANANDRATHI,2191.0,22.56,45.97,48.76,1.31,29.916,11
AETHER,1618.2,53.92,65.51,84.61,2.28,29.882,12
RADICO,4634.0,30.13,64.19,41.05,1.51,29.869,13
SKYGOLD,795.5,64.24,110.23,124.34,3.38,29.446,14
RUBICON,1713.0,81.36,117.25,130.83,3.79,28.995,15
SONACOMS,815.5,34.13,54.44,60.64,1.74,28.578,16
AVALON,2189.0,48.61,105.53,121.6,3.31,27.8,17
SAILIFE,1463.0,31.35,57.07,69.46,1.92,27.456,18
CPPLUS,3438.7,34.53,119.36,99.7,3.09,27.356,19
HONASA,490.35,25.33,62.66,70.2,1.95,26.997,20
ATHERENERG,1439.8,51.46,96.24,106.57,3.15,26.896,21
AKUMS,749.9,44.2,57.15,76.74,2.26,26.315,22
GRWRHITECH,7146.5,33.49,63.76,78.65,2.26,25.901,23
PARAS,1536.0,78.99,143.71,105.72,4.3,25.441,24
SHRIPISTON,4642.0,42.67,53.04,70.94,2.19,25.314,25
ACMESOLAR,407.25,35.48,76.35,67.66,2.37,25.23,26
KRN,1486.2,38.02,88.08,71.55,2.71,24.346,27
QUESS,339.65,64.73,63.29,52.31,2.52,23.814,28
AEGISLOG,1382.0,93.26,102.79,75.3,3.93,23.014,29
NEULANDLAB,23334.0,39.78,70.71,35.27,2.12,22.949,30
SYRMA,1430.1,35.26,70.02,64.03,2.49,22.639,31
GRANULES,852.65,12.43,46.4,51.87,1.67,22.15,32
OFSS,11776.0,19.17,77.03,40.65,2.14,21.354,33
ATLANTAELE,1752.1,2.83,96.19,83.39,2.87,21.161,34
FEDERALBNK,358.6,23.98,23.29,45.76,1.48,20.93,35
ASTRAMICRO,1664.2,34.69,81.85,71.32,3.02,20.754,36
NEOGEN,2244.0,27.89,69.79,72.84,2.75,20.635,37
AZAD,2828.2,38.66,70.85,72.39,2.95,20.54,38
EMIL,188.8,61.69,83.57,47.19,3.22,19.905,39
JINDALSAW,289.75,31.7,53.72,75.18,2.7,19.797,40
CRAFTSMAN,10568.5,21.45,36.6,56.66,1.93,19.773,41
CEMPRO,1272.0,44.55,110.06,55.86,3.56,19.698,42
BLUESTONE,827.4,72.79,97.19,45.04,3.71,19.312,43
APARINDS,16739.0,33.53,66.33,81.32,3.14,19.26,44
TMB,890.55,30.38,29.87,77.1,2.4,19.084,45
GLAND,2799.0,19.92,52.43,54.19,2.23,18.939,46
ALIVUS,1343.1,23.14,50.91,47.96,2.18,18.633,47
MTARTECH,7043.0,-11.42,88.06,171.31,4.5,18.375,48
LLOYDSME,1881.0,4.42,55.27,48.72,2.04,17.749,49
INOXINDIA,1936.7,30.15,71.24,67.1,3.25,17.301,50
