Symbol,Date,CMP,MonthlyLow,BuyZone032,SellZone068,MonthlyHigh,Signal,Entry,Target,StopLoss
M&M,2026-08-10,3517.4,3384.6,3423.1,3466.4,3504.9,BREAKOUT BUY,3517.39990234375,3593.9,3466.4
BEL,2026-08-10,403.65,385.2,390.9,397.3,403.0,BREAKOUT BUY,403.6499938964844,413.17,397.3
INFY,2026-08-10,1186.4,1138.1,1153.36,1170.54,1185.8,BREAKOUT BUY,1186.4000244140625,1210.19,1170.54
KOTAKBANK,2026-08-10,391.75,387.75,391.67,396.08,400.0,REVERSAL BUY,391.75,396.08,387.75
TITAN,2026-08-10,5061.4,4851.8,4900.82,4955.98,5005.0,BREAKOUT BUY,5061.39990234375,5219.53,4955.98
GRASIM,2026-08-10,3376.6,3103.1,3181.98,3270.72,3349.6,BREAKOUT BUY,3376.60009765625,3535.42,3270.72
HEROMOTOCO,2026-08-10,5873.0,5388.0,5519.84,5668.16,5800.0,BREAKOUT BUY,5873.0,6180.26,5668.16
BEML,2026-08-10,1882.8,1668.1,1715.94,1769.76,1817.6,BREAKOUT BUY,1882.800048828125,2052.36,1769.76
BHEL,2026-08-10,407.95,402.2,407.48,413.42,418.7,REVERSAL BUY,407.95001220703125,413.42,402.20001220703125
IRCTC,2026-08-10,524.75,493.0,502.6,513.4,523.0,BREAKOUT BUY,524.75,541.78,513.4
VEDL,2026-08-10,284.85,264.5,270.21,276.64,282.35,BREAKOUT BUY,284.8500061035156,297.17,276.64
