Date,TotalEntryValue,TotalCurrentValue,OverallPnL%,StocksHolding,StocksTargetHitToday,StocksSLHitToday
2026-08-15 02:19,11390.6,11267.9,-1.08,3,0,3
2026-08-17 06:08,16902.15,16802.15,-0.59,5,0,0
2026-08-18 06:02,16902.15,16711.35,-1.13,5,0,0
2026-08-19 06:04,16902.15,16640.0,-1.55,5,0,0
2026-08-20 06:05,16902.15,16637.9,-1.56,5,0,0
2026-08-21 06:06,16883.45,16595.25,-1.71,5,0,1
2026-08-24 08:06,12471.85,12230.4,-1.94,5,0,1
2026-08-25 06:06,10670.85,10656.45,-0.13,5,0,1
2026-08-26 07:37,10683.55,10652.15,-0.29,5,1,0
2026-08-28 21:23,10683.55,10773.6,0.84,5,0,0
2026-08-31 05:09,21988.15,21946.15,-0.19,5,0,1
2026-09-01 05:15,22411.15,22315.95,-0.42,5,1,0
2026-09-02 05:15,22411.15,21803.9,-2.71,5,0,0
