Symbol,BuyPrice,Target,Profit%,StopLoss,Score,NextResistance,NextGann,52wHigh,RoomTo52wHigh%,Uptrend,TrendReversed,AboveHMA_Buy,RoomTo52wHigh,BBBounce,GrowthPotential,GannCrossApproach,ResistanceCrossed,CircuitSignal
PERSISTENT,5728.5,6599.0,15.2,5442.07,7,6599.0,5738.06,6599.0,15.2,True,True,True,True,False,True,True,True,NEUTRAL
ICICIBANK,1440.9,1584.99,10.0,1368.86,7,1480.0,1444.0,1480.0,2.7,True,True,True,False,True,True,True,True,NEUTRAL
TECHM,1633.0,1796.3,10.0,1551.35,7,1681.5,1640.25,1854.0,13.5,True,False,True,True,True,True,True,True,NEUTRAL
BAJAJ-AUTO,12410.0,13651.0,10.0,11789.5,7,12470.0,12432.25,12470.0,0.5,True,True,True,False,True,True,True,True,NEUTRAL
COFORGE,1978.0,2175.8,10.0,1879.1,6,2021.2,1980.25,2021.2,2.2,True,True,True,False,False,True,True,True,NEUTRAL
SUNPHARMA,1937.6,2131.36,10.0,1840.72,6,2046.9,1947.02,2046.9,5.6,True,True,True,False,False,True,True,True,NEUTRAL
DIVISLAB,9200.0,10120.0,10.0,8740.0,6,9467.0,9216.0,9467.0,2.9,True,True,True,False,False,True,True,True,NEUTRAL
BHEL,429.95,472.95,10.0,408.45,6,446.5,430.56,446.5,3.8,True,True,True,False,False,True,True,True,NEUTRAL
APOLLOHOSP,8789.0,9667.9,10.0,8349.55,6,9009.0,8789.06,9050.0,3.0,True,False,True,False,True,True,True,True,NEUTRAL
AUROPHARMA,1692.1,1861.31,10.0,1607.49,6,1717.0,1701.56,1717.0,1.5,True,True,True,False,False,True,True,True,NEUTRAL
GAIL,173.9,191.29,10.0,165.2,6,177.95,175.56,186.87,7.5,True,True,True,False,True,True,False,True,NEUTRAL
BEML,1953.0,2275.75,16.5,1855.35,5,2275.75,1958.06,2275.75,16.5,True,False,False,True,False,True,True,True,NEUTRAL
AXISBANK,1267.3,1394.03,10.0,1203.93,5,1348.0,1269.14,1418.3,11.9,False,False,True,True,False,True,True,True,NEUTRAL
KOTAKBANK,421.55,463.71,10.0,400.47,5,453.2,425.39,453.2,7.5,True,False,True,False,False,True,True,True,NEUTRAL
BAJAJFINSV,1966.1,2162.71,10.0,1867.79,5,2118.5,1969.14,2195.0,11.6,True,False,False,True,True,True,False,True,NEUTRAL
BPCL,318.55,350.41,10.0,302.62,5,329.95,319.52,391.65,22.9,False,True,True,True,False,True,False,True,NEUTRAL
HCLTECH,1340.7,1474.77,10.0,1273.66,5,1377.0,1341.39,1780.1,32.8,False,False,False,True,True,True,True,True,NEUTRAL
HEROMOTOCO,5623.0,6185.3,10.0,5341.85,5,5937.0,5625.0,6388.5,13.6,True,False,False,True,True,True,False,True,NEUTRAL
