Date,TotalEntryValue,TotalCurrentValue,OverallPnL%,StocksHolding,StocksTargetHitToday,StocksSLHitToday
2026-08-15 02:18,4278.19,4180.15,-2.29,5,0,0
2026-08-17 06:06,3740.09,3706.45,-0.9,5,0,1
2026-08-18 06:00,3740.09,3699.68,-1.08,5,0,0
2026-08-19 06:02,3740.09,3722.89,-0.46,5,0,0
2026-08-20 06:03,3740.09,3759.75,0.53,5,0,0
2026-08-21 06:04,3740.09,3737.98,-0.06,5,0,0
2026-08-24 08:04,3740.09,3706.59,-0.9,5,0,0
2026-08-25 06:04,3740.09,3694.31,-1.22,5,0,0
2026-08-26 07:35,3740.09,3721.17,-0.51,5,0,0
2026-08-28 21:22,3740.09,3792.17,1.39,5,0,0
2026-08-31 05:08,3740.09,3745.84,0.15,5,0,0
2026-09-01 05:14,3740.09,3781.75,1.11,5,0,0
2026-09-02 05:13,9222.59,9288.0,0.71,5,0,1
2026-09-03 05:41,9222.59,9318.97,1.05,5,0,0
2026-09-04 05:14,9222.59,9391.43,1.83,5,0,0
