Symbol,BuyPrice,Target,Profit%,StopLoss,Score,NextResistance,NextGann,52wHigh,RoomTo52wHigh%,Uptrend,TrendReversed,AboveHMA_Buy,RoomTo52wHigh,BBBounce,GrowthPotential,GannCrossApproach,ResistanceCrossed,CircuitSignal
BEML,1889.6,2275.75,20.4,1795.12,7,2275.75,1892.25,2275.75,20.4,False,True,True,True,True,True,True,True,NEUTRAL
SBIN,1077.2,1234.7,14.6,1023.34,7,1234.7,1080.77,1234.7,14.6,True,True,True,True,False,True,True,True,NEUTRAL
NMDC,86.1,97.49,13.2,81.79,6,97.49,87.89,97.49,13.2,True,False,True,True,True,False,True,True,NEUTRAL
GODREJPROP,2106.0,2316.6,10.0,2000.7,6,2168.3,2116.0,2352.0,11.7,True,False,False,True,True,True,True,True,NEUTRAL
AUROPHARMA,1644.4,1808.84,10.0,1562.18,6,1671.9,1650.39,1671.9,1.7,True,True,True,False,False,True,True,True,NEUTRAL
MGL,1130.7,1243.77,10.0,1074.16,6,1167.0,1139.06,1378.0,21.9,False,False,True,True,True,True,True,True,NEUTRAL
RELIANCE,1326.6,1611.8,21.5,1260.27,5,1611.8,1332.25,1611.8,21.5,False,False,True,True,True,False,True,True,NEUTRAL
SAIL,177.6,208.45,17.4,168.72,5,208.45,178.89,209.7,18.1,True,False,True,True,False,False,True,True,NEUTRAL
BRITANNIA,5600.0,6336.0,13.1,5320.0,5,6336.0,5606.27,6336.0,13.1,False,True,False,True,False,True,True,True,NEUTRAL
HINDALCO,1042.75,1176.0,12.8,990.61,5,1176.0,1048.14,1176.0,12.8,True,False,True,True,False,False,True,True,NEUTRAL
COFORGE,1802.3,1989.7,10.4,1712.18,5,1989.7,1806.25,1989.7,10.4,True,False,False,True,False,True,True,True,NEUTRAL
M&M,3525.1,3877.61,10.0,3348.84,5,3839.9,3525.39,3839.9,8.9,False,False,True,True,False,True,True,True,NEUTRAL
BEL,403.3,443.63,10.0,383.13,5,417.0,405.02,473.45,17.4,False,True,True,True,True,False,True,False,NEUTRAL
LT,4062.0,4468.2,10.0,3858.9,5,4272.3,4064.06,4440.0,9.3,True,False,False,True,False,True,True,True,NEUTRAL
TITAN,5077.1,5584.81,10.0,4823.24,5,5122.2,5094.39,5122.2,0.9,True,False,True,False,False,True,True,True,NEUTRAL
GRASIM,3386.8,3725.48,10.0,3217.46,5,3386.9,3393.06,3386.9,0.0,True,False,True,False,False,True,True,True,NEUTRAL
HEROMOTOCO,5850.0,6435.0,10.0,5557.5,5,6388.5,5852.25,6388.5,9.2,False,False,True,True,False,True,True,True,NEUTRAL
DLF,659.5,725.45,10.0,626.52,5,692.0,663.06,794.8,20.5,True,False,False,True,True,True,False,True,NEUTRAL
SIEMENS,3973.4,4370.74,10.0,3774.73,5,4073.8,3984.77,4073.8,2.5,True,False,True,False,False,True,True,True,NEUTRAL
HAL,4926.0,5418.6,10.0,4679.7,5,4978.0,4935.06,4978.0,1.1,True,False,True,False,False,True,True,True,NEUTRAL
PIDILITIND,1677.8,1845.58,10.0,1593.91,5,1686.4,1681.0,1686.4,0.5,True,False,True,False,False,True,True,True,NEUTRAL
APOLLOHOSP,8910.0,9801.0,10.0,8464.5,5,9050.0,8930.25,9050.0,1.6,True,False,False,False,True,True,True,True,NEUTRAL
SHRIRAMFIN,1127.2,1239.92,10.0,1070.84,5,1153.7,1130.64,1153.7,2.4,True,False,True,False,False,True,True,True,NEUTRAL
ASHOKLEY,176.25,215.42,22.2,167.44,4,215.42,178.89,215.42,22.2,False,False,False,True,False,True,True,True,NEUTRAL
DRREDDY,1165.9,1346.8,15.5,1107.61,4,1346.8,1173.06,1414.9,21.4,False,True,True,True,False,False,False,True,NEUTRAL
CIPLA,1465.4,1673.0,14.2,1392.13,4,1673.0,1472.64,1673.0,14.2,True,False,False,True,False,True,False,True,NEUTRAL
ICICIBANK,1422.8,1565.08,10.0,1351.66,4,1460.0,1425.06,1480.0,4.0,True,False,False,False,True,True,False,True,NEUTRAL
BAJFINANCE,1085.9,1194.49,10.0,1031.61,4,1176.4,1089.0,1176.4,8.3,True,False,False,True,False,True,False,True,NEUTRAL
SUNPHARMA,1949.2,2144.12,10.0,1851.74,4,2046.9,1958.06,2046.9,5.0,True,False,False,False,True,True,False,True,NEUTRAL
JSWSTEEL,1306.6,1437.26,10.0,1241.27,4,1335.0,1314.06,1335.0,2.2,True,False,False,False,False,True,True,True,NEUTRAL
ADANIENT,2997.2,3296.92,10.0,2847.34,4,3059.8,2997.56,3245.0,8.3,True,False,False,True,False,True,False,True,NEUTRAL
ULTRACEMCO,12086.0,13294.6,10.0,11481.7,4,13110.0,12100.0,13110.0,8.5,False,False,False,True,False,True,True,True,NEUTRAL
NESTLEIND,1531.2,1684.32,10.0,1454.64,4,1553.0,1540.56,1553.0,1.4,True,False,False,False,False,True,True,True,NEUTRAL
ASIANPAINT,2742.6,3016.86,10.0,2605.47,4,2832.7,2743.14,2985.7,8.9,True,False,False,True,False,True,False,True,NEUTRAL
TECHM,1648.2,1813.02,10.0,1565.79,4,1686.6,1650.39,1854.0,12.5,True,False,False,True,False,True,False,True,NEUTRAL
INDUSINDBK,1017.6,1119.36,10.0,966.72,4,1038.0,1024.0,1077.85,5.9,True,False,True,False,False,True,False,True,NEUTRAL
CUMMINSIND,5414.5,5955.95,10.0,5143.77,4,5714.0,5420.64,6100.0,12.7,False,True,False,True,True,True,False,False,NEUTRAL
IRCTC,524.2,576.62,10.0,497.99,4,535.0,529.0,739.0,41.0,False,False,True,False,True,False,True,True,NEUTRAL
MAXHEALTH,1078.8,1186.68,10.0,1024.86,4,1135.9,1080.77,1301.7,20.7,True,False,False,True,True,True,False,False,NEUTRAL
CANBK,130.6,143.66,10.0,124.07,4,135.5,132.25,162.89,24.7,False,False,True,True,False,False,True,True,NEUTRAL
CHOLAFIN,1898.3,2088.13,10.0,1803.38,4,1952.5,1903.14,1952.5,2.9,True,False,False,False,False,True,True,True,NEUTRAL
