EntryID,Stock,ScanDate,RankOnScanDay,PlannedEntry,SL,T1,T2,T3,Qty,Status,ActualEntryDate,ActualEntryPrice,ExitDate,ExitPrice,ExitReason,ReturnPct,PnL
1,GILLETTE,2026-08-29,1,7474.92,6989.82,7960.02,8445.12,8930.22,1,PENDING,,,,,,,
2,PATANJALI,2026-08-29,2,349.55,318.35,380.74,411.94,443.13,1,PENDING,,,,,,,
3,MSUMI,2026-08-29,3,38.15,34.63,41.66,45.18,48.7,1,PENDING,,,,,,,
4,SUNTV,2026-08-29,4,468.44,450.13,486.74,505.05,523.35,1,PENDING,,,,,,,
5,BLS,2026-08-29,5,240.47,212.33,268.61,296.74,324.88,1,PENDING,,,,,,,
6,ALKEM,2026-08-29,6,5369.22,4922.75,5815.68,6262.15,6708.62,1,PENDING,,,,,,,
7,VOLTAS,2026-08-29,7,1238.07,1151.2,1324.95,1411.82,1498.7,1,PENDING,,,,,,,
8,BLUESTARCO,2026-08-29,8,1512.92,1406.5,1619.34,1725.76,1832.18,1,PENDING,,,,,,,
9,JWL,2026-08-29,9,253.41,228.58,278.23,303.06,327.88,1,PENDING,,,,,,,
10,ERIS,2026-08-29,10,1335.16,1164.0,1506.33,1677.49,1848.66,1,PENDING,,,,,,,
