Rank,Stock,Price,DeepSupport,SupportGap,RSI,Trend,VolumeX,Score,Entry,SL,T1,T2,T3,DonchianHigh,BreakoutGap,52W_High,52W_Low,Reason
1,COLPAL,1841.0,1782.0,3.31,29.1,BEARISH,1.87,115,1847.59,1728.54,1966.64,2085.68,2204.73,2116.6,14.97,2504.0,1782.0,"Near deep support, Deeply oversold RSI, Support rejection wick, Bullish candle, Price recovering, Volume spike, RSI improving, Pullback into support (bearish trend)"
2,GILLETTE,7328.0,7206.0,1.69,29.5,BEARISH,0.8,115,7360.19,6989.82,7730.56,8100.93,8471.3,7776.0,6.11,10740.0,7206.0,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
3,ABFRL,52.84,52.21,1.21,32.6,BEARISH,0.43,110,53.3,50.64,55.95,58.6,61.25,64.1,21.31,94.95,52.21,"Very close to deep support, Oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
4,VOLTAS,1200.9,1186.8,1.19,33.3,BEARISH,0.76,110,1205.41,1151.2,1259.62,1313.83,1368.04,1358.0,13.08,1582.5,1186.8,"Very close to deep support, Oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
5,FIRSTCRY,185.5,184.97,0.29,20.6,BEARISH,2.2,95,191.88,179.42,204.35,216.81,229.27,222.5,19.95,438.7,184.97,"Very close to deep support, Deeply oversold RSI, Price recovering, Volume spike, RSI improving, Pullback into support (bearish trend)"
6,CIEINDIA,394.3,381.1,3.46,33.1,BEARISH,0.51,95,395.59,369.67,421.51,447.43,473.36,423.0,7.28,526.0,381.1,"Near deep support, Oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
7,CROMPTON,233.5,217.4,7.41,31.8,BEARISH,0.65,95,234.62,210.88,258.36,282.1,305.84,271.0,16.06,337.5,217.4,"Near deep support, Oversold RSI, Support rejection wick, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
8,ABLBL,86.2,84.24,2.33,36.2,BEARISH,1.04,85,86.89,81.71,92.07,97.25,102.44,96.17,11.57,151.33,84.24,"Very close to deep support, RSI below 40, Bullish candle, Price recovering, RSI improving, Pullback into support (bearish trend)"
9,DABUR,384.0,383.1,0.23,22.9,BEARISH,0.57,80,386.67,371.61,401.74,416.8,431.87,426.2,10.99,577.0,383.1,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
10,SJVN,64.35,63.02,2.11,21.0,BEARISH,0.94,80,64.82,61.13,68.51,72.2,75.89,70.43,9.45,100.31,63.02,"Very close to deep support, Deeply oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
11,PIIND,2408.4,2420.1,-0.48,30.1,BEARISH,0.54,75,2429.55,2347.5,2511.6,2593.65,2675.71,2845.0,18.13,3832.9,2420.1,"Very close to deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
12,BLUESTARCO,1472.8,1450.0,1.57,34.1,BEARISH,0.44,75,1493.88,1406.5,1581.26,1668.65,1756.03,1737.6,17.98,2040.0,1450.0,"Very close to deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
13,ICICIGI,1555.3,1544.6,0.69,30.2,BEARISH,0.71,75,1570.74,1498.26,1643.21,1715.68,1788.15,1771.0,13.87,2064.9,1544.6,"Very close to deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
14,SUNTV,465.6,461.0,1.0,36.0,BEARISH,1.09,70,477.25,447.17,507.34,537.42,567.5,516.95,11.03,660.7,461.0,"Very close to deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
15,HAVELLS,1208.1,1123.6,7.52,33.3,BEARISH,0.6,60,1225.35,1089.89,1360.8,1496.25,1631.71,1315.0,8.85,1621.1,1123.6,"Near deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
16,PATANJALI,343.95,328.2,4.8,33.4,BEARISH,0.44,60,348.25,318.35,378.14,408.03,437.92,365.6,6.29,615.0,328.2,"Near deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
17,CENTRALBK,30.21,29.32,3.04,34.6,BEARISH,0.7,60,30.51,28.44,32.58,34.65,36.72,31.73,5.03,40.92,29.32,"Near deep support, Oversold RSI, Support rejection wick, Pullback into support (bearish trend)"
18,RPOWER,22.1,20.17,9.57,36.8,BEARISH,0.46,55,22.49,19.56,25.42,28.35,31.28,25.3,14.48,50.73,20.17,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
19,SRF,2565.4,2355.0,8.93,39.7,BEARISH,0.55,55,2600.89,2284.35,2917.43,3233.97,3550.52,2663.0,3.8,3210.0,2355.0,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
20,TRIDENT,24.16,21.98,9.92,35.2,BEARISH,0.69,55,24.34,21.32,27.36,30.37,33.39,25.91,7.24,30.94,21.98,"Near deep support, RSI below 40, Support rejection wick, Pullback into support (bearish trend)"
21,AADHARHFC,467.4,430.15,8.66,37.5,MIXED,0.52,45,472.04,417.25,526.84,581.64,636.43,517.8,10.78,563.0,430.15,"Near deep support, RSI below 40, Support rejection wick"
