symbol,levels,resistances,avg_vol_20d
360ONE.NS,1063.30;1034.20,1093.30;1123.50;1132.00;1134.60;1134.90;1152.00;1154.00;1165.10;1170.00;1191.50;1197.00;1219.80;1222.90,853784.65
3MINDIA.NS,30960.00;32405.00;34635.00,33330.00;33895.00;34275.00;34295.00;34545.00;34840.00;35500.00;36030.00;36660.00;36880.00;37300.00,4157.8
AADHARHFC.NS,484.07;450.67;498.60;461.05,470.70;476.00;481.15;486.40;488.00;500.70;506.70;510.45;517.80;523.00;524.45;524.50;542.00;563.00,318934.4
AARTIIND.NS,472.27;457.02,501.00;501.40;504.90;510.90;511.95;516.95;523.10;541.70;551.75,550453.5
AAVAS.NS,1348.54;1244.87,1318.00;1416.70;1444.50;1453.20;1468.00;1494.90;1534.90;1540.80;1544.90,114729.35
ABBOTINDIA.NS,25199.00;27307.50;25778.75,26150.00;26365.00;26490.00;26745.00;26770.00;27000.00;27490.00;28280.00;28635.00;28940.00,8145.1
ABCAPITAL.NS,337.23;384.48,354.35;363.35;366.30;369.80;375.95;399.35;407.40;410.05;410.70;411.40;416.45;430.70,2522870.15
ABDL.NS,610.23;583.90,555.35;564.80;588.00;589.60;600.00;628.80;638.00;643.90;652.60;655.00;711.70,930202.0
ABFRL.NS,61.39;57.92;50.20,50.77;55.11;55.28;62.20;62.56;63.84;64.10;66.41;66.60;69.00;69.09,4217703.75
ABLBL.NS,100.55;96.04;93.70,85.35;87.00;87.40;97.40;99.68;100.04;102.54;102.69;102.80;104.74;109.55;110.76;119.55,638716.25
ABREL.NS,1373.12;1327.15,1278.80;1288.70;1327.90;1367.30;1400.90;1449.00;1452.00;1465.00;1470.00;1471.20;1475.00;1486.00;1570.10;1598.00,149915.75
ABSLAMC.NS,1004.85;983.12;1119.05,1029.30;1045.00;1047.10;1062.00;1082.25;1089.50;1099.25;1107.90;1116.90;1123.50;1167.30;1179.70;1203.60;1224.90,206765.25
ACC.NS,1405.90;1331.50;1296.50,1280.30;1289.30;1338.10;1367.60;1374.30;1395.70;1398.80;1405.00;1413.90;1433.50;1459.60,115968.1
ACE.NS,850.72;960.73;1068.05,926.25;954.80;966.75;1018.70;1037.90;1047.00;1081.80;1087.50;1149.00;1189.00;1196.00;1268.00,329529.0
ACMESOLAR.NS,362.20,307.40;314.40;316.90;364.80;391.05;398.15;398.65;411.50;430.50,2731477.15
ACUTAAS.NS,3355.80;3100.60,2468.40;2849.90;3188.10;3328.00;3384.00;3399.80;3444.30;3488.00;3509.90;3700.00;3740.00,307065.15
AEGISLOG.NS,1172.20;1227.15,731.00;741.10;754.00;767.50;792.30;1385.00;1423.50;1434.50;1449.00;1497.80;1528.70,939280.45
AEGISVOPAK.NS,184.64;262.68,202.58;206.02;213.70;221.00;249.43;280.00;282.80;298.70;299.50;305.07;306.55;311.49;320.95,1878132.1
AFCONS.NS,310.57;280.43,287.95;292.00;297.40;304.55;313.70;324.90;342.50;346.50;356.45;359.05,2866695.05
AFFLE.NS,1392.93;1420.53;1494.75,1475.90;1477.50;1518.40;1519.80;1535.00;1544.00;1590.00;1623.50;1654.50;1669.60;1686.00;1720.10;1748.20,376697.45
AIAENG.NS,4482.75,4049.90;4110.00;4320.00;4535.80;4775.00;4885.90;4912.50;5060.00;5180.00,49849.4
AIIL.NS,504.88;498.77;526.12,514.00;514.40;522.45;534.20;534.65;558.00;565.00;573.80;579.00;581.60;584.85;607.70,605597.75
AJANTPHARM.NS,2745.05;3277.90;3473.57,3115.00;3178.90;3314.90;3506.90;3550.00;3598.80;3609.00;3630.00;3666.00;3796.00,73592.35
ALKEM.NS,5177.00;5392.25;5509.25;5077.75,5406.50;5466.50;5470.00;5510.00;5511.00;5638.50;5639.00;5673.00;5700.00;5735.00;5735.50;5789.00;5882.50,140005.5
AMBER.NS,6944.50;7343.08;7157.50,7214.50;7408.00;7557.00;7567.00;7794.00;7809.50;7884.00;8076.00;8095.00;8218.00;8277.50;8974.00,109726.45
ANANDRATHI.NS,1753.75;1712.97;2040.65;2150.35,1809.50;1821.30;1839.90;1849.50;1867.50;1953.60;2114.90;2120.00;2121.20;2176.20;2209.20;2230.00;2242.00;2255.00;2268.40,251573.65
ANANTRAJ.NS,512.82;574.73,517.65;526.05;538.80;548.15;564.85;591.25;598.80;627.75;641.70;646.40;649.00,2887032.65
ANGELONE.NS,289.97;320.57;327.32;282.80,302.00;305.05;305.45;308.35;310.00;323.40;330.23;334.95;349.50;351.00;355.30;356.75;360.45,5436708.3
ANTHEM.NS,752.49;734.08,767.10;777.00;783.40;785.90;788.85;807.25;814.80;825.65;847.00;899.90;904.00;942.60;962.00;977.55,955073.9
ANURAS.NS,1273.35;1342.00;1198.83;1252.00,1224.00;1266.30;1270.80;1273.90;1287.00;1294.50;1313.90;1368.70;1384.00;1390.00;1396.00;1415.00,568690.8
APARINDS.NS,13297.00;16107.00,12327.50;12850.00;13024.00;13580.00;14265.00;14685.00;17157.00;17525.00;18075.00;18132.00;18465.00;19265.00,119830.25
APLAPOLLO.NS,1824.25;1743.27;1786.10;2128.10,1838.70;1842.00;1854.70;1878.50;1943.40;2011.70;2173.00;2270.10;2278.40;2281.00,630288.1
APOLLOTYRE.NS,422.14;400.88;378.92;410.70,399.00;406.00;418.85;428.75;429.55;439.40;439.45;443.90;449.25;451.00;452.00;461.60;467.40,654745.15
APTUS.NS,253.73;248.55;275.68,261.70;261.80;261.96;267.90;268.80;268.95;274.20;277.95;288.40;293.90;295.00;309.00,1468043.9
ARE&M.NS,790.80;824.85,874.60;877.50;909.90;924.50;929.80;936.50;957.00;1017.30,412904.5
ASAHIINDIA.NS,831.00;870.05,857.35;869.80;887.20;899.00;905.00;917.00;932.80;940.10;950.35;968.10;974.00;995.00,135632.25
ASHOKLEY.NS,148.88;155.25;170.67,160.89;162.20;164.20;165.70;165.80;167.55;172.80;181.39;181.84;182.70,10847164.25
ASTERDM.NS,764.31;744.02,692.75;724.50;770.00;775.50;776.55;798.80;801.95;823.95;834.00;836.50;839.40;891.30,1053444.55
ASTRAL.NS,1514.70;1422.77;1482.35;1320.30,1411.80;1427.70;1504.40;1564.40;1581.00;1583.30;1588.00;1597.80;1600.00;1601.00;1614.80,1158718.4
ATGL.NS,695.65;647.58,624.40;649.50;657.75;673.80;674.80;677.85;684.90;687.90;742.30;746.40;750.00;770.00;859.85,2689342.85
ATHERENERG.NS,869.45,971.15;982.35;989.40;1069.00;1176.20;1345.00;1580.00;1673.50;1744.00,4873176.1
ATUL.NS,6778.17;6508.00;6394.00;5993.50,6602.00;6642.50;6659.50;6829.00;6894.00;6900.00;6990.00;7007.00;7029.50;7140.00;7170.00;7180.00,25700.85
AUBANK.NS,1000.00;949.16;1015.32;1039.95,1025.00;1052.30;1056.00;1065.70;1068.80;1077.90;1079.20;1079.55;1079.90;1090.40;1101.10;1105.90;1144.10,921348.3
AUROPHARMA.NS,1419.50;1538.90;1610.70,1459.50;1481.00;1496.50;1513.40;1550.00;1584.80;1607.50;1636.80;1682.40;1704.00;1717.00;1738.90,752104.8
AWL.NS,194.01;185.47;180.08,187.75;192.53;194.70;198.60;198.95;199.90;201.50;204.82;211.03;216.01,1725450.95
BAJAJHFL.NS,85.82;82.27;83.67,84.98;85.51;85.79;86.39;86.45;86.82;87.45;87.95;88.40;89.20;91.38;92.05;93.00;94.00,2722543.55
BALKRISIND.NS,2136.63;1976.05,2209.10;2236.00;2248.90;2268.70;2276.00;2287.00;2296.00;2300.00;2351.50;2365.00;2385.00;2394.60;2554.50;2558.00,767039.35
BALRAMCHIN.NS,511.05;524.73;637.70;654.30,536.40;537.00;552.70;559.90;561.90;563.40;570.00;604.90;641.95;659.15;665.50;738.95;742.00;780.95,4106549.3
BANDHANBNK.NS,169.45;194.17,177.20;178.33;179.11;180.74;211.80;212.48;212.66;214.22;218.13;220.76,12362121.4
BANKINDIA.NS,136.54;134.31;140.32,141.11;146.09;146.15;146.25;146.40;147.11;147.49;147.90;149.33;151.00;154.34,4451591.3
BATAINDIA.NS,672.50;652.45;694.08,689.25;704.20;708.00;708.80;709.90;715.05;717.50;735.50;747.50;767.95;779.00;803.30,151683.45
BAYERCROP.NS,4180.13;4035.55,3999.00;4010.80;4105.00;4297.10;4313.50;4315.00;4355.00;4555.00;4686.80;4832.80;5063.00,25074.35
BBTC.NS,1477.65;1444.87;1520.15,1534.20;1552.00;1556.00;1558.00;1559.70;1564.80;1567.20;1610.80;1623.90;1639.00,926827.85
BDL.NS,1336.65;1236.47,1196.60;1243.70;1277.90;1285.70;1293.00;1348.00;1393.70;1427.70;1433.10;1440.50;1450.70;1481.20,971343.8
BELRISE.NS,209.96;203.70;221.28;225.25,222.75;223.50;226.30;228.80;236.50;237.70;239.25;239.70;252.00;268.20,2978033.65
BEML.NS,1770.30;1698.54,1798.00;1799.20;1818.00;1819.10;1874.00;1881.00;1884.00;1890.00;1910.00;1954.80;1984.00;2037.10;2155.00;2205.00,471080.95
BERGEPAINT.NS,480.79;491.42;505.62,463.00;490.00;513.35;529.00;530.00;538.15;540.35;557.30;559.70;565.90,348873.5
BHARATFORG.NS,1833.08;1873.75;2062.28;2134.75,1925.00;1949.90;1988.50;2044.00;2104.90;2159.90;2176.10;2223.20;2232.50;2238.00;2295.00,896055.1
BHARTIHEXA.NS,1478.58;1436.67;1573.10,1508.80;1523.70;1543.00;1558.90;1567.40;1578.50;1616.90;1623.00;1647.20;1647.30;1662.20;1678.10,75666.55
BHEL.NS,369.70;394.68;403.10,408.90;417.90;422.40;423.70;424.90;435.95;439.20;439.90;442.65;446.50,5718932.45
BIKAJI.NS,634.93;625.92;602.12,635.90;648.35;651.65;660.45;666.00;670.60;682.00;684.00;689.00;696.60;708.75,378384.15
BIOCON.NS,423.15;407.88,364.80;368.20;421.60;423.55;431.75;432.15;436.90;439.95;440.40;442.50;447.15,3074671.15
BLS.NS,273.62;244.38;232.48,234.00;242.15;244.07;246.50;275.90;276.00;276.80;280.14;282.70;286.95;295.20;309.00,846030.1
BLUEDART.NS,4807.03;4728.50;5003.25,4949.50;4960.00;5035.20;5050.00;5079.50;5159.50;5277.00;5280.00;5520.00;5579.70;5745.00;5775.50,8670.8
BLUEJET.NS,564.98,430.10;459.00;481.40;501.60;521.55;547.60;599.90;612.95;615.60;630.00;647.80,401675.85
BLUESTARCO.NS,1581.77;1471.65;1432.40,1514.70;1535.40;1565.10;1580.00;1652.80;1710.60;1717.70;1737.60;1763.20;1825.80;1921.00;1928.90,556812.8
BRIGADE.NS,574.54;478.76;494.90,545.50;553.65;572.00;578.00;595.95;602.66;610.50;612.00;619.45;671.00;735.00,633911.1
BSE.NS,3426.27;3208.10;3108.30,3410.00;3412.00;3452.70;3474.50;3570.00;3628.00;3671.40;3867.50;3971.60;3994.00;4121.00;4219.90;4298.90;4446.80,3949788.2
BSOFT.NS,306.65;275.48,302.85;303.95;304.60;314.00;331.00;331.80;337.25;356.80;381.95;399.85,1431150.05
CAMS.NS,717.75;757.72;743.45,732.60;778.00;778.05;785.40;786.40;792.50;795.40;807.45;812.00;830.50;836.00;844.90,1134414.3
CANFINHOME.NS,804.22;822.88;787.95,791.95;815.00;831.90;838.95;841.55;852.35;854.90;898.75;910.00;917.00;927.00;940.85;943.90,256456.5
CANHLIFE.NS,132.89;139.76;145.80,141.74;142.38;144.15;145.00;146.56;149.69;152.50;152.69;154.80;156.29;158.80;161.05;162.90;166.69,928644.9
CAPLIPOINT.NS,2495.97;2447.60,1785.00;1799.80;1885.00;2060.00;2099.00;2447.30;2590.00;2600.00;2672.10;2675.00;2699.00;2877.30,271905.85
CARBORUNIV.NS,991.65;1009.50;1045.96;1074.95,959.00;1076.30;1082.00;1110.00;1121.00;1134.90;1151.00;1166.40;1196.00;1207.00;1208.10;1306.90,587935.0
CARTRADE.NS,2695.97;2872.70,1889.00;2115.00;2494.90;2740.00;2742.00;2868.00;2870.00;2886.00;3079.00;3081.50;3170.20;3250.00;3254.00,305637.65
CASTROLIND.NS,181.68;184.84;187.05,185.49;185.76;186.00;188.20;188.30;188.70;188.95;190.90;191.80;195.00;197.85,2730189.5
CCL.NS,1073.27;1043.53;1108.10,1126.90;1134.00;1137.00;1146.50;1149.90;1213.70;1215.00;1217.50;1223.80;1224.00;1228.70;1236.20;1242.20,134281.4
CDSL.NS,1190.85;1299.52;1320.75,1234.30;1235.10;1269.30;1291.00;1345.50;1361.30;1362.00;1365.90;1394.40;1396.80;1401.10;1438.00;1445.00;1453.10,1054032.7
CEATLTD.NS,3245.65;3127.37,3260.40;3289.50;3369.70;3529.00;3550.00;3633.80;3824.80;3879.00;3949.90;3986.00,54828.25
CEMPRO.NS,1202.40,691.95;938.00;982.80;1089.90;1257.40;1291.60;1296.00;1355.00;1363.70;1597.40;1647.30;1649.20,241818.15
CENTRALBK.NS,35.51;30.96;30.32,31.18;31.23;31.57;31.66;31.73;32.40;33.18;33.30;34.24;34.44;34.48;37.04;37.09;37.33,6882589.3
CESC.NS,174.37;164.00;159.46;143.72,144.33;151.11;153.42;167.45;169.10;171.55;172.00;173.98;177.25;182.00;182.97;188.70;204.50,1741796.95
CGCL.NS,181.67;198.00;215.53,189.02;191.56;204.90;208.40;225.99;243.87;258.90;263.56;264.53;287.45,4105937.1
CHALET.NS,740.55;807.92;785.98,798.00;809.50;810.00;820.05;835.00;850.00;858.00;869.00;874.90;913.45;939.95,169929.95
CHAMBLFERT.NS,439.14;423.55;403.32,423.15;423.60;446.90;446.95;457.00;459.00;460.15;461.00;466.15;482.70;483.00;497.80,502700.6
CHENNPETRO.NS,1105.07;1086.05,1103.00;1159.70;1172.90;1225.00;1249.00;1279.70;1351.00;1354.00;1449.00;1489.70;1677.50,1796491.2
CHOICEIN.NS,650.80;794.25,696.00;702.00;736.00;775.95;793.00;819.00;846.00;854.30,364926.65
CHOLAHLDNG.NS,1519.95;1575.55;1399.10;1491.55,1543.20;1642.70;1658.00;1658.90;1672.00;1721.40;1809.90,138966.1
CIEINDIA.NS,449.58;403.72,398.10;422.00;423.00;460.00;471.90;473.50;476.40;481.00;483.50;489.25;502.95;504.00,245853.7
CLEAN.NS,736.48;715.80;814.76,770.00;789.30;799.80;809.00;817.35;817.60;838.95;842.90;848.90;854.40;862.30;872.85;874.80;899.50,354305.35
COCHINSHIP.NS,1457.60;1411.50;1369.10,1422.80;1485.40;1523.60;1536.90;1551.00;1557.00;1571.80;1577.90;1780.00;1842.80,1026677.65
COFORGE.NS,1141.70;1394.40;1359.20;1428.90;1771.45,1229.90;1334.90;1387.80;1447.00;1523.60;1554.00;1569.00;1836.40;1893.60;2021.20,2293418.1
