EntryID,Stock,ScanDate,RankOnScanDay,PlannedEntry,SL,T1,T2,T3,Qty,Status,ActualEntryDate,ActualEntryPrice,ExitDate,ExitPrice,ExitReason,ReturnPct,PnL
1,MARICO,2026-08-28,1,839.43,812.86,865.99,892.55,919.12,1,PENDING,,,,,,,
2,ATGL,2026-08-28,2,648.54,622.74,674.35,700.15,725.95,1,PENDING,,,,,,,
3,GODREJIND,2026-08-28,3,1168.93,1108.67,1229.19,1289.45,1349.71,1,PENDING,,,,,,,
4,JSWCEMENT,2026-08-28,4,127.59,120.48,134.71,141.82,148.94,1,PENDING,,,,,,,
5,PATANJALI,2026-08-28,5,349.55,335.31,363.79,378.03,392.27,1,PENDING,,,,,,,
6,POLYMED,2026-08-28,6,1730.95,1618.18,1843.73,1956.51,2069.29,1,PENDING,,,,,,,
7,ATUL,2026-08-28,7,6615.2,6258.77,6971.64,7328.07,7684.51,1,PENDING,,,,,,,
8,NHPC,2026-08-28,8,76.7,74.04,79.37,82.03,84.7,1,PENDING,,,,,,,
9,EMCURE,2026-08-28,9,1896.99,1793.5,2000.47,2103.96,2207.45,1,PENDING,,,,,,,
10,SWANCORP,2026-08-28,10,307.11,291.55,322.68,338.24,353.8,1,PENDING,,,,,,,
