symbol,entry_date,entry_roe,entry_de,entry_promoter,capital_allocated,status
ALKYLAMINE,2026-08-16,41.4,0.16,72.04,33333.33,HOLD
IEX,2026-08-16,39.4,0.01,,33333.33,HOLD
TATAELXSI,2026-08-16,39.3,0.0,43.9,33333.33,HOLD
CAMS,2026-08-16,36.3,0.05,0.0,33333.33,HOLD
CUMMINSIND,2026-08-16,30.2,0.0,51.0,33333.33,HOLD
TRENT,2026-08-16,27.7,0.37,37.01,33333.33,HOLD
PERSISTENT,2026-08-16,27.2,0.06,30.29,33333.33,HOLD
APLAPOLLO,2026-08-16,25.3,0.09,28.25,33333.33,HOLD
CDSL,2026-08-16,24.5,0.0,15.0,33333.33,HOLD
POLYCAB,2026-08-16,23.0,0.02,61.46,33333.33,HOLD
COFORGE,2026-08-16,21.4,0.08,0.0,33333.33,HOLD
KPITTECH,2026-08-16,20.9,0.24,38.59,33333.33,HOLD
BHARTIARTL,2026-08-16,20.3,1.31,50.07,33333.33,HOLD
RADICO,2026-08-16,20.3,0.15,40.19,33333.33,HOLD
SCHAEFFLER,2026-08-16,20.2,0.01,74.13,33333.33,HOLD
