Rank,Stock,Price,Support,SupportGap,VolumeX,RSI,Score,Entry,SL,T1,T2,T3,Donchian,BreakoutGap,Reason
1,ABCAPITAL,397.05,390.3,1.73,1.55,44.5,105,397.84,382.49,413.19,428.54,443.89,426.35,7.38,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving, Above 200 DMA"
2,IOB,32.68,32.06,1.93,1.73,39.2,100,32.91,31.42,34.39,35.88,37.37,35.0,7.1,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
3,ESCORTS,3019.4,2967.7,1.74,1.49,47.1,98,3045.98,2908.35,3183.61,3321.25,3458.88,3158.5,4.61,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA"
4,M&MFIN,368.85,363.1,1.58,0.59,44.7,95,371.34,355.84,386.84,402.35,417.85,415.0,12.51,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
5,RADICO,4476.2,4393.4,1.88,0.62,48.8,95,4485.15,4305.53,4664.77,4844.39,5024.01,4747.0,6.05,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
6,CASTROLIND,186.08,184.1,1.08,0.34,47.7,95,186.77,180.42,193.13,199.48,205.84,195.0,4.79,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 50 DMA, Above 200 DMA"
7,FEDERALBNK,353.35,341.55,3.45,1.34,52.2,93,354.21,334.72,373.7,393.18,412.67,364.2,3.07,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
8,IDFCFIRSTB,85.09,82.5,3.14,1.28,53.3,93,85.42,80.85,89.99,94.56,99.13,86.94,2.17,"Near support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving, Above 50 DMA, Above 200 DMA"
9,CENTRALBK,30.37,30.1,0.9,1.2,37.9,93,30.59,29.5,31.68,32.78,33.87,31.73,4.48,"Very close to support, Support rejection, Bullish candle, Price recovering, Volume increasing, RSI improving"
10,ATGL,614.95,610.0,0.81,0.79,29.6,90,626.2,597.8,654.6,683.0,711.4,687.9,11.86,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
11,GICRE,355.45,347.05,2.42,2.2,48.4,90,359.17,340.11,378.22,397.28,416.34,364.5,2.55,"Near support, Support rejection, Bullish candle, Price recovering, Volume spike, RSI improving"
12,ATUL,6485.5,6370.0,1.81,0.57,45.4,90,6512.0,6242.6,6781.4,7050.79,7320.19,7007.0,8.04,"Very close to support, Support rejection, Bullish candle, Price recovering, RSI improving, Above 200 DMA"
